n_estimators,train-mlogloss-mean,train-mlogloss-std,test-mlogloss-mean,test-mlogloss-std
0,1.954251,0.00033608431481796163,1.9639156666666668,0.00382218125624037
1,1.777374,0.002894445370014759,1.7941343333333333,0.003343771755900158
2,1.6366633333333336,0.0031982643556918424,1.6589813333333332,0.0037860520627987374
3,1.520827,0.003057196864231459,1.5489870000000001,0.004844618939263136
4,1.423087,0.0034302158338312626,1.4566886666666665,0.005593337306315639
5,1.338786,0.0032381415451870226,1.3770266666666666,0.006285363120421537
6,1.2649646666666665,0.003899019734354913,1.307803,0.006225952510794355
7,1.2009773333333333,0.004198324771726146,1.2475726666666667,0.006365855498063268
8,1.142806,0.004098532176279693,1.1932016666666667,0.006369372671011023
9,1.0909346666666666,0.00450340125781489,1.1452086666666668,0.0069818399835254764
10,1.0447906666666666,0.004711100178184308,1.1032553333333335,0.007576644390640363
11,1.0029433333333333,0.004484376161246493,1.0652153333333334,0.008056377032443905
12,0.9649899999999999,0.004729698580952769,1.0313743333333332,0.008034806006093409
13,0.9310376666666667,0.004543696683929898,1.0002526666666667,0.008193170991068706
14,0.8987943333333334,0.004961482462150043,0.9718366666666668,0.008735463556993166
15,0.8705296666666666,0.005331942568666308,0.9468753333333333,0.009238260923403735
16,0.8443276666666666,0.005488700959445857,0.9241393333333333,0.009502374767510603
17,0.8195443333333333,0.005739388720838557,0.9034376666666667,0.009632998575498467
18,0.7974206666666666,0.005960815510947776,0.8845263333333334,0.009877264983564801
19,0.7768916666666666,0.005970122295415921,0.8671593333333334,0.010563762345343128
20,0.7582136666666667,0.006214297511026947,0.8513113333333333,0.010666236585079527
21,0.7406396666666666,0.00630288750406418,0.8365486666666667,0.010774226788447002
22,0.7240263333333333,0.006280073902608322,0.8234903333333333,0.010885996641965726
23,0.7083836666666666,0.006012271136785318,0.81115,0.01093165370228433
24,0.694004,0.0057805032652875335,0.7994896666666667,0.011495302383534307
25,0.680688,0.005636824342363942,0.7889316666666666,0.011760237705458526
26,0.6677339999999999,0.005742383012884713,0.7787829999999999,0.011984243182890906
27,0.6558136666666666,0.005834030301220209,0.7698969999999999,0.012380995463478142
28,0.6451576666666666,0.00557561000150553,0.7616966666666666,0.01257653925193873
29,0.6344953333333333,0.0059167830411090295,0.7536586666666666,0.012594850914383861
30,0.624225,0.005802875379212167,0.7465373333333334,0.012544984823515005
31,0.614386,0.0055502447393485635,0.7394653333333333,0.012890437342809128
32,0.6050123333333334,0.005917199806965769,0.7333193333333333,0.012936400486826113
33,0.5965493333333333,0.00637906546621228,0.7277226666666667,0.012964271552574359
34,0.589102,0.006272208595595883,0.7226303333333334,0.013141670120481445
35,0.581576,0.006160404045190553,0.7176006666666667,0.012962427044689162
36,0.5746143333333333,0.006451350986851939,0.712875,0.012880525170452744
37,0.5673596666666666,0.0064219316581712845,0.7083336666666668,0.013049396469654174
38,0.5605349999999999,0.006591064456267039,0.7037723333333333,0.013418483206218029
39,0.553905,0.0063301375972407,0.7001763333333333,0.013693087339562563
