n_estimators,train-mlogloss-mean,train-mlogloss-std,test-mlogloss-mean,test-mlogloss-std
0,1.086128,6.313477647069075e-05,1.08631,6.18223260643379e-05
1,1.0741753333333335,8.704915597269772e-05,1.0745226666666667,0.00010802880274359212
2,1.0624726666666666,9.275894685808142e-05,1.0629896666666665,0.00014907790655306188
3,1.0511786666666667,0.0001265999824469199,1.0518803333333333,0.00012031717343020342
4,1.0402953333333333,0.00010111489614406094,1.0411793333333332,0.0001284402152321483
5,1.0296049999999999,0.00013308894269123024,1.030669,0.0001291278436278978
6,1.0193813333333333,6.826582030725517e-05,1.0206256666666667,0.00024358480156924263
7,1.0094073333333335,0.00011192060678095115,1.010821,0.0003409907134610803
8,0.9997146666666668,0.00016263729242976476,1.0013313333333334,0.0003805621572825942
9,0.990368,0.00018765393680923799,0.9921473333333334,0.0004547954363105561
10,0.9812486666666667,0.00014528210106165088,0.983202,0.00045243857778340954
11,0.9723806666666666,0.0002131045648398001,0.9745189999999999,0.0004330227091812727
12,0.9638346666666666,0.00031779378359072407,0.9661406666666666,0.0004439867365386235
13,0.9554623333333333,0.0003562258958706957,0.957928,0.000412895466996962
14,0.9473786666666667,0.0004006031563640788,0.9500319999999999,0.0004149867467763507
15,0.939419,0.0004255843042218394,0.9422636666666667,0.0004298258045094954
16,0.9317446666666666,0.00046356684763068976,0.9347696666666666,0.0004663227304012584
17,0.9242713333333333,0.0004764349086939723,0.927453,0.00046168676249881197
18,0.9170196666666667,0.0005146405433784857,0.9203596666666667,0.0005358982075813539
19,0.9100526666666666,0.0006604691934947217,0.9135716666666666,0.0006015143851609495
20,0.9032526666666666,0.0006091175766814409,0.9069523333333334,0.00064166155842121
21,0.8965933333333335,0.0006832404814965048,0.9004646666666667,0.0006193466091150095
22,0.8901126666666667,0.0006881982918381022,0.8941316666666667,0.0006816960873846885
23,0.8837743333333333,0.000773432752230106,0.88797,0.00067330577501358
24,0.8775556666666667,0.0008311375070080436,0.8819189999999999,0.0007060118034896335
25,0.8715093333333334,0.0008258911685096411,0.876049,0.0006598742304409326
26,0.8656820000000001,0.0008511830982031108,0.8703886666666666,0.0007059260269713446
27,0.8599536666666667,0.0008659947395272684,0.8648253333333334,0.0007416928085280477
28,0.8544046666666666,0.0008781455207171418,0.8594506666666667,0.0007429546120427215
29,0.8489213333333333,0.0008748723081430378,0.8541316666666666,0.0007315473706846143
30,0.8436673333333333,0.0008308920240052718,0.8490446666666666,0.0006088154254141881
31,0.8386136666666667,0.0007349074015744516,0.8441346666666667,0.000633016236407512
32,0.8335696666666667,0.000778727737331128,0.8392506666666666,0.0006066543954803065
33,0.8286603333333334,0.0008007485386950228,0.8344810000000001,0.0006384486405864565
34,0.8237976666666667,0.0007654006938997468,0.8297896666666666,0.0006775408146787985
35,0.8190833333333334,0.0007366610859517039,0.8252473333333333,0.0006114383770167359
36,0.814512,0.0007224767585650963,0.8208306666666667,0.000639133441118153
37,0.810076,0.000679913229758011,0.816539,0.000662211949957632
38,0.8056909999999999,0.0006932892614198189,0.8123203333333332,0.0007089176413534933
39,0.8014486666666668,0.0006820822693944145,0.8082263333333334,0.000728048685795733
40,0.7973196666666666,0.0006937465115027524,0.804282,0.0007318456121341685
41,0.793249,0.0007116530053333561,0.8003766666666666,0.0007128769568134041
42,0.789269,0.0007789381661381569,0.7965580000000001,0.0006895346256715736
43,0.7854446666666667,0.0008026540696686039,0.7928966666666667,0.0007030440163239376
44,0.7816339999999999,0.0008507694556497924,0.7892303333333334,0.000670084737593371
